PROVINCE,DISTRICT,TEHSIL,AREA,TOTAL_MALE,TOTAL_FEMALE,TOTAL_MALE_12_17,TOTAL_FEMALE_12_17,FULL_VAC_MALE,FULL_VAC_MALE_YD,FULL_VAC_FEMALE,FULL_VAC_FEMALE_YD,PART_VAC_MALE,PART_VAC_MALE_YD,PART_VAC_FEMALE,PART_VAC_FEMALE_YD,lat,long
Sindh,BADIN,BADIN,Abri Block,379,296,125,90,5,,,,18,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Amin Nariro,93,84,17,18,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Andalu,234,193,88,79,3,,1,,9,,14,,24.6459,68.8467
Sindh,BADIN,BADIN,Angri,64,33,10,4,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Odha,43,47,16,15,,,,,3,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,Achh,54,62,17,16,,,,,2,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,Achro,12,14,3,4,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Akro,52,55,16,14,1,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Bandhu,97,80,32,10,,,,,3,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Bagdhaji,48,47,18,11,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Baksha,90,68,26,14,,,,,1,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,Badin Municipal Committee,"6,353","6,130","2,090","2,017",53,2,34,4,218,13,185,3,24.6459,68.8467
Sindh,BADIN,BADIN,Bodandi,103,92,19,25,1,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Bokhi,113,75,23,14,,,,,2,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Boharki,164,135,56,34,,,,,2,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Bakho Khadi,144,113,42,25,2,,,,5,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,Baghad,44,49,11,14,1,,,,1,,2,,24.6459,68.8467
Sindh,BADIN,BADIN,Bhanu,39,25,20,11,,,,,1,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Bhanhari,80,56,26,17,1,,,,1,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,Bhambhaki,69,52,20,20,,,,,2,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Bhadmi,105,89,40,21,2,,,,6,,1,,24.6459,68.8467
Sindh,BADIN,BADIN,Bijoriro,44,38,13,15,,,,,,,,,24.6459,68.8467
Sindh,BADIN,BADIN,Bedhidi,31,33,9,9,1,,,,1,,3,,24.6459,68.8467
