PROVINCE,DISTRICT,TEHSIL,AREA,TOTAL_MALE,TOTAL_FEMALE,FULL_VAC_MALE,FULL_VAC_MALE_YD,FULL_VAC_FEMALE,FULL_VAC_FEMALE_YD,PART_VAC_MALE,PART_VAC_MALE_YD,PART_VAC_FEMALE,PART_VAC_FEMALE_YD,lat,long
Sindh,BADIN,BADIN,Abri Block,"1,580","1,373",579,3,485,,883,1,863,1,24.6459,68.8467
Sindh,BADIN,BADIN,Amin Nariro,514,482,223,,224,1,321,,327,,24.6459,68.8467
Sindh,BADIN,BADIN,Andalu,745,645,375,2,275,1,465,,394,1,24.6459,68.8467
Sindh,BADIN,BADIN,Angri,384,310,59,,54,,114,,118,,24.6459,68.8467
Sindh,BADIN,BADIN,Odha,499,421,196,,165,,257,2,261,,24.6459,68.8467
Sindh,BADIN,BADIN,Achh,592,441,100,,43,,181,,134,1,24.6459,68.8467
Sindh,BADIN,BADIN,Achro,247,235,46,,15,1,84,,50,1,24.6459,68.8467
Sindh,BADIN,BADIN,Akro,183,132,57,,46,,86,,78,,24.6459,68.8467
Sindh,BADIN,BADIN,Bandhu,918,767,197,1,140,,428,1,392,,24.6459,68.8467
Sindh,BADIN,BADIN,Bagdhaji,573,523,108,1,98,2,233,,225,1,24.6459,68.8467
Sindh,BADIN,BADIN,Baksha,614,501,99,3,88,,238,9,232,11,24.6459,68.8467
Sindh,BADIN,BADIN,Badin Municipal Committee,"30,183","26,556","10,875",95,"8,294",138,"14,771",92,"12,364",126,24.6459,68.8467
Sindh,BADIN,BADIN,Bodandi,575,483,90,1,57,,243,1,267,,24.6459,68.8467
Sindh,BADIN,BADIN,Bokhi,567,524,170,,160,2,276,,298,1,24.6459,68.8467
Sindh,BADIN,BADIN,Boharki,"1,495","1,140",340,12,219,16,686,9,483,11,24.6459,68.8467
Sindh,BADIN,BADIN,Bakho Khadi,683,581,242,1,255,2,363,1,390,,24.6459,68.8467
Sindh,BADIN,BADIN,Baghad,681,590,149,4,86,1,266,5,208,1,24.6459,68.8467
Sindh,BADIN,BADIN,Bhanu,551,462,226,4,181,9,374,9,324,1,24.6459,68.8467
Sindh,BADIN,BADIN,Bhanhari,829,698,270,27,265,28,499,2,469,5,24.6459,68.8467
Sindh,BADIN,BADIN,Bhambhaki,643,514,152,,115,,312,,272,1,24.6459,68.8467
Sindh,BADIN,BADIN,Bhadmi,"1,012",833,457,7,352,2,577,7,514,2,24.6459,68.8467
Sindh,BADIN,BADIN,Bijoriro,505,408,141,3,140,1,202,3,190,4,24.6459,68.8467
Sindh,BADIN,BADIN,Bedhidi,498,393,112,,94,,206,,179,1,24.6459,68.8467
Sindh,BADIN,BADIN,Tali,681,556,156,1,110,1,300,,278,,24.6459,68.8467
